V1_gene	Annotation_gene	Min_gene_overlap_percent
VIT_08s0040g00390	Vitvi05_01chr08g08960	85.8
VIT_08s0040g00480	Vitvi05_01chr08g09130	78
VIT_08s0040g00490	Vitvi05_01chr08g09140	54.9
VIT_08s0040g00630	Vitvi05_01chr08g09300	76.4
VIT_08s0040g00690	Vitvi05_01chr08g09360	73.5
VIT_08s0040g00780	Vitvi05_01chr08g09460	97.6
VIT_08s0040g00800	Vitvi05_01chr08g09480	85
VIT_08s0040g00920	Vitvi05_01chr08g09690	61.1
VIT_08s0040g00980	Vitvi05_01chr08g09760	78
VIT_08s0040g01130	Vitvi05_01chr08g09990	81.4
VIT_08s0040g01710	Vitvi05_01chr08g10910	77
VIT_08s0040g01950	Vitvi05_01chr08g11320	93.4
VIT_08s0040g02610	Vitvi05_01chr08g12240	91.8
VIT_08s0040g02660	Vitvi05_01chr08g12340	57.5
VIT_08s0040g03150	Vitvi05_01chr08g12970	72.9
VIT_08s0040g03230	Vitvi05_01chr08g13110	57.2
VIT_08s0040g03400	Vitvi05_01chr08g13330	89.6
VIT_08s0056g00150	Vitvi05_01chr08g00300	84.9
VIT_08s0056g00500	Vitvi05_01chr08g00670	56.3
VIT_08s0056g01120	Vitvi05_01chr08g01530	77.9
VIT_08s0056g01240	Vitvi05_01chr08g01740	73
VIT_08s0056g01300	Vitvi05_01chr08g01830	81.1
VIT_08s0056g01480	Vitvi05_01chr08g02100	99.7
VIT_08s0058g00020	Vitvi05_01chr08g06220	69.9
VIT_08s0058g00210	Vitvi05_01chr08g06640	50.8
VIT_08s0058g00350	Vitvi05_01chr08g07000	84.3
VIT_08s0058g00410	Vitvi05_01chr08g07080	91.2
VIT_08s0058g00430	Vitvi05_01chr08g07100	80.8
VIT_08s0058g00490	Vitvi05_01chr08g07230	68.3
VIT_08s0058g00640	Vitvi05_01chr08g07460	81.8
VIT_08s0058g00740	Vitvi05_01chr08g07590	77.8
VIT_08s0058g00930	Vitvi05_01chr08g07890	73.8
VIT_08s0058g01010	Vitvi05_01chr08g07970	74.4
VIT_08s0058g01090	Vitvi05_01chr08g08060	53.9
VIT_08s0105g00380	Vitvi05_01chr08g05700	73.7
VIT_08s0105g00430	Vitvi05_01chr08g05770	63.2
VIT_08s0105g00590	Vitvi05_01chr08g06030	95.2
VIT_09s0002g00150	Vitvi05_01chr09g00120	97.7
VIT_09s0002g00320	Vitvi05_01chr09g00280	90.2
VIT_09s0002g00330	Vitvi05_01chr09g00290	74.9
VIT_09s0002g00370	Vitvi05_01chr09g00330	64.5
VIT_09s0002g00420	Vitvi05_01chr09g00420	91.1
VIT_09s0002g00540	Vitvi05_01chr09g00530	85
VIT_09s0002g00550	Vitvi05_01chr09g00540	70
VIT_09s0002g00570	Vitvi05_01chr09g00550	67.8
VIT_09s0002g00580	Vitvi05_01chr09g00560	85.4
VIT_09s0002g00640	Vitvi05_01chr09g00610	85.5
VIT_09s0002g00670	Vitvi05_01chr09g00630	73.9
VIT_09s0002g00810	Vitvi05_01chr09g00800	97.2
VIT_09s0002g00960	Vitvi05_01chr09g00960	92
VIT_09s0002g00970	Vitvi05_01chr09g00970	79
VIT_09s0002g01000	Vitvi05_01chr09g01040	63.2
VIT_09s0002g01060	Vitvi05_01chr09g01120	73.9
VIT_09s0002g02120	Vitvi05_01chr09g02480	85.1
VIT_09s0002g02230	Vitvi05_01chr09g02630	75.4
VIT_09s0002g02570	Vitvi05_01chr09g03020	70.6
VIT_09s0002g03140	Vitvi05_01chr09g03580	59.4
VIT_09s0002g03460	Vitvi05_01chr09g03940	62.5
VIT_09s0002g03520	Vitvi05_01chr09g04010	58.6
VIT_09s0002g04080	Vitvi05_01chr09g04690	88.4
VIT_09s0002g04120	Vitvi05_01chr09g04750	67.7
VIT_09s0002g04130	Vitvi05_01chr09g04760	79.7
VIT_09s0002g04240	Vitvi05_01chr09g04900	81.8
VIT_09s0002g04320	Vitvi05_01chr09g05070	88.5
VIT_09s0002g04330	Vitvi05_01chr09g05090	70.9
VIT_09s0002g04360	Vitvi05_01chr09g05150	85.5
VIT_09s0002g04500	Vitvi05_01chr09g05300	82.6
VIT_09s0002g04840	Vitvi05_01chr09g05710	51
VIT_09s0002g04850	Vitvi05_01chr09g05720	65.5
VIT_09s0002g05150	Vitvi05_01chr09g06200	76.4
VIT_09s0002g05180	Vitvi05_01chr09g06240	92.5
VIT_09s0002g05250	Vitvi05_01chr09g06330	92.9
VIT_09s0002g05280	Vitvi05_01chr09g06410	83
VIT_09s0002g05320	Vitvi05_01chr09g06480	81.1
VIT_09s0002g05700	Vitvi05_01chr09g06840	63.9
VIT_09s0002g05710	Vitvi05_01chr09g06850	92.1
VIT_09s0002g05980	Vitvi05_01chr09g07270	61.1
VIT_09s0002g06070	Vitvi05_01chr09g07400	75.5
VIT_09s0002g06400	Vitvi05_01chr09g07890	55.5
VIT_09s0002g06430	Vitvi05_01chr09g07960	70.4
VIT_09s0002g06680	Vitvi05_01chr09g08240	62.4
VIT_09s0002g06920	Vitvi05_01chr09g08580	55.6
VIT_09s0002g07110	Vitvi05_01chr09g08740	97.5
VIT_09s0002g07120	Vitvi05_01chr09g08750	88.3
VIT_09s0002g07920	Vitvi05_01chr09g10110	98.5
VIT_09s0002g07940	Vitvi05_01chr09g10130	86.1
VIT_09s0002g08090	Vitvi05_01chr09g10350	89.7
VIT_09s0002g08680	Vitvi05_01chr09g11400	55.4
VIT_09s0002g08960	Vitvi05_01chr09g11900	82.2
VIT_09s0018g00240	Vitvi05_01chr09g16470	78.6
VIT_09s0018g00520	Vitvi05_01chr09g17030	94.1
VIT_09s0018g01190	Vitvi05_01chr09g17950	62.8
VIT_09s0018g01220	Vitvi05_01chr09g17970	80.8
VIT_09s0018g01340	Vitvi05_01chr09g18150	94.9
VIT_09s0018g01490	Vitvi05_01chr09g18240	50.5
VIT_09s0018g01670	Vitvi05_01chr09g18420	80.5
VIT_09s0018g01870	Vitvi05_01chr09g18740	94.1
VIT_09s0018g02110	Vitvi05_01chr09g19180	91.1
VIT_09s0054g01100	Vitvi05_01chr09g21190	51.1
VIT_09s0054g01220	Vitvi05_01chr09g21320	86.7
VIT_09s0054g01750	Vitvi05_01chr09g21900	77.1
VIT_09s0054g01760	Vitvi05_01chr09g21910	63.3
VIT_09s0070g00210	Vitvi05_01chr09g14510	56.3
VIT_09s0070g00240	Vitvi05_01chr09g14570	88.6
VIT_09s0070g00480	Vitvi05_01chr09g14840	60.4
VIT_10s0003g00090	Vitvi05_01chr10g08760	71.8
VIT_10s0003g00220	Vitvi05_01chr10g08930	63.6
VIT_10s0003g00260	Vitvi05_01chr10g08980	84.6
VIT_10s0003g00330	Vitvi05_01chr10g09040	66.6
VIT_10s0003g00350	Vitvi05_01chr10g09060	70.1
VIT_10s0003g00380	Vitvi05_01chr10g09090	54.8
VIT_10s0003g00390	Vitvi05_01chr10g09100	74.7
VIT_10s0003g00410	Vitvi05_01chr10g09130	85.5
VIT_10s0003g00420	Vitvi05_01chr10g09140	87.8
VIT_10s0003g00620	Vitvi05_01chr10g09340	73.3
VIT_10s0003g01070	Vitvi05_01chr10g10130	69.3
VIT_10s0003g01280	Vitvi05_01chr10g10370	90.7
VIT_10s0003g01360	Vitvi05_01chr10g10550	75.1
VIT_10s0003g01410	Vitvi05_01chr10g10620	74.8
VIT_10s0003g01690	Vitvi05_01chr10g11030	72
VIT_10s0003g01830	Vitvi05_01chr10g11280	57.4
VIT_10s0003g01960	Vitvi05_01chr10g11490	88.8
VIT_10s0003g01990	Vitvi05_01chr10g11530	97
VIT_10s0003g02000	Vitvi05_01chr10g11540	75.9
VIT_10s0003g02040	Vitvi05_01chr10g11610	71.8
VIT_10s0003g02110	Vitvi05_01chr10g11700	70.4
VIT_10s0003g02120	Vitvi05_01chr10g11730	85.2
VIT_10s0003g02440	Vitvi05_01chr10g12320	56.7
VIT_10s0003g02680	Vitvi05_01chr10g12670	92.4
VIT_10s0003g02780	Vitvi05_01chr10g12870	95.7
VIT_10s0003g02890	Vitvi05_01chr10g13070	69
VIT_10s0003g02900	Vitvi05_01chr10g13080	56.9
VIT_10s0003g03250	Vitvi05_01chr10g13490	87.1
VIT_10s0003g03490	Vitvi05_01chr10g13890	77.9
VIT_10s0003g03810	Vitvi05_01chr10g14400	89.8
VIT_10s0003g04040	Vitvi05_01chr10g14900	57.8
VIT_10s0003g04100	Vitvi05_01chr10g14990	69.6
VIT_10s0003g04240	Vitvi05_01chr10g15160	56.5
VIT_10s0003g04350	Vitvi05_01chr10g15410	59.4
VIT_10s0003g04480	Vitvi05_01chr10g15660	82.6
VIT_10s0003g04490	Vitvi05_01chr10g15670	72.9
VIT_10s0003g04560	Vitvi05_01chr10g15860	57
VIT_10s0003g04670	Vitvi05_01chr10g16080	81
VIT_10s0003g04950	Vitvi05_01chr10g16460	84.1
VIT_10s0003g05420	Vitvi05_01chr10g17350	73.1
VIT_10s0003g05480	Vitvi05_01chr10g17420	72.5
VIT_10s0042g00170	Vitvi05_01chr10g24740	69.6
VIT_10s0042g00450	Vitvi05_01chr10g24450	97.6
VIT_10s0071g00890	Vitvi05_01chr10g26250	93.3
VIT_10s0071g01060	Vitvi05_01chr10g26570	85
VIT_10s0071g01100	Vitvi05_01chr10g26640	75
VIT_10s0116g00290	Vitvi05_01chr10g02040	77.2
VIT_10s0116g00350	Vitvi05_01chr10g02080	58.3
VIT_10s0116g00370	Vitvi05_01chr10g00320	92.2
VIT_10s0116g00530	Vitvi05_01chr10g00450	63.3
VIT_10s0116g00560	Vitvi05_01chr10g07790	68
VIT_10s0116g00590	Vitvi05_01chr10g00490	85.7
VIT_10s0116g01040	Vitvi05_01chr10g00860	84.5
VIT_10s0116g01540	Vitvi05_01chr10g01300	63
VIT_10s0116g01780	Vitvi05_01chr10g01650	85.8
VIT_10s0523g00020	Vitvi05_01chr10g02500	55.5
VIT_10s0597g00010	Vitvi05_01chr10g08110	55.8
VIT_11s0016g00130	Vitvi05_01chr11g09770	91.2
VIT_11s0016g00190	Vitvi05_01chr11g00180	98.7
VIT_11s0016g00290	Vitvi05_01chr11g00320	79.8
VIT_11s0016g00330	Vitvi05_01chr11g00360	64.7
VIT_11s0016g00500	Vitvi05_01chr11g00540	52.2
VIT_11s0016g00560	Vitvi05_01chr11g00610	83.4
VIT_11s0016g00660	Vitvi05_01chr11g00730	58.7
VIT_11s0016g00670	Vitvi05_01chr11g00740	86.8
VIT_11s0016g00730	Vitvi05_01chr11g00800	96.1
VIT_11s0016g00960	Vitvi05_01chr11g01060	84.7
VIT_11s0016g01020	Vitvi05_01chr11g01120	79.9
VIT_11s0016g01400	Vitvi05_01chr11g01510	61.7
VIT_11s0016g01480	Vitvi05_01chr11g01580	96.5
VIT_11s0016g01810	Vitvi05_01chr11g02010	95.3
VIT_11s0016g01880	Vitvi05_01chr11g02140	96.4
VIT_11s0016g02110	Vitvi05_01chr11g02410	61.9
VIT_11s0016g02380	Vitvi05_01chr11g02760	55.4
VIT_11s0016g02430	Vitvi05_01chr11g02850	87.2
VIT_11s0016g02760	Vitvi05_01chr11g03220	54.2
VIT_11s0016g02900	Vitvi05_01chr11g03420	56.7
VIT_11s0016g02920	Vitvi05_01chr11g03440	80.3
VIT_11s0016g02940	Vitvi05_01chr11g03480	74.5
VIT_11s0016g02960	Vitvi05_01chr11g03510	78.5
VIT_11s0016g03010	Vitvi05_01chr11g03580	97.1
VIT_11s0016g03140	Vitvi05_01chr11g03740	92.6
VIT_11s0016g03190	Vitvi05_01chr11g03800	64.5
VIT_11s0016g03210	Vitvi05_01chr11g03830	91.1
VIT_11s0016g03370	Vitvi05_01chr11g04040	73.1
VIT_11s0016g03580	Vitvi05_01chr11g04270	84.3
VIT_11s0016g04080	Vitvi05_01chr11g04870	62.1
VIT_11s0016g04160	Vitvi05_01chr11g04970	85
VIT_11s0016g04190	Vitvi05_01chr11g05030	86.8
VIT_11s0016g04500	Vitvi05_01chr11g05530	77
VIT_11s0016g04570	Vitvi05_01chr11g05600	75
VIT_11s0016g04810	Vitvi05_01chr11g05900	57.3
VIT_11s0016g04920	Vitvi05_01chr11g06030	55.3
VIT_11s0016g05000	Vitvi05_01chr11g06150	91.1
VIT_11s0016g05110	Vitvi05_01chr11g06280	86.5
VIT_11s0016g05270	Vitvi05_01chr11g06510	89.4
VIT_11s0016g05430	Vitvi05_01chr11g06740	67.8
VIT_11s0016g05460	Vitvi05_01chr11g06780	90.2
VIT_11s0016g05570	Vitvi05_01chr11g06900	96.3
VIT_11s0016g05770	Vitvi05_01chr11g07210	80.2
VIT_11s0037g00130	Vitvi05_01chr11g10100	97.4
VIT_11s0037g00290	Vitvi05_01chr11g10300	59.7
VIT_11s0037g00510	Vitvi05_01chr11g10550	73.9
VIT_11s0037g00570	Vitvi05_01chr11g10600	67.9
VIT_11s0052g00100	Vitvi05_01chr11g16410	80.2
VIT_11s0052g00630	Vitvi05_01chr11g17530	54.6
VIT_11s0052g00820	Vitvi05_01chr11g17780	54.9
VIT_11s0052g00970	Vitvi05_01chr11g18020	58
VIT_11s0052g01090	Vitvi05_01chr11g18210	81.7
VIT_11s0052g01190	Vitvi05_01chr11g18320	68.9
VIT_11s0052g01200	Vitvi05_01chr11g18330	57.4
VIT_11s0052g01230	Vitvi05_01chr11g18370	65.3
VIT_11s0052g01250	Vitvi05_01chr11g18400	59.1
VIT_11s0052g01260	Vitvi05_01chr11g18410	57.5
VIT_11s0052g01280	Vitvi05_01chr11g18430	82.3
VIT_11s0052g01300	Vitvi05_01chr11g18440	74.4
VIT_11s0052g01320	Vitvi05_01chr11g18460	81.9
VIT_11s0052g01330	Vitvi05_01chr11g18470	70.5
VIT_11s0052g01560	Vitvi05_01chr11g18740	96.5
VIT_11s0052g01570	Vitvi05_01chr11g18750	76.5
VIT_11s0052g01650	Vitvi05_01chr11g18890	61.4
VIT_11s0052g01700	Vitvi05_01chr11g18950	85.6
VIT_11s0065g00130	Vitvi05_01chr11g12600	79.7
VIT_11s0065g00350	Vitvi05_01chr11g12900	95.1
VIT_11s0103g00190	Vitvi05_01chr11g15510	67.9
VIT_11s0103g00550	Vitvi05_01chr11g16060	85.5
VIT_11s0118g00200	Vitvi05_01chr11g07830	96.4
VIT_11s0118g00420	Vitvi05_01chr11g08140	91.2
VIT_11s0118g00560	Vitvi05_01chr11g08310	78.2
VIT_11s0206g00110	Vitvi05_01chr11g09490	87.7
VIT_12s0028g00040	Vitvi05_01chr12g00780	69.1
VIT_12s0028g00320	Vitvi05_01chr12g00970	87.8
VIT_12s0028g00860	Vitvi05_01chr12g01380	85
VIT_12s0028g00920	Vitvi05_01chr12g01430	65.8
VIT_12s0028g01080	Vitvi05_01chr12g01610	63.9
VIT_12s0028g01180	Vitvi05_01chr12g01780	75.4
VIT_12s0028g01210	Vitvi05_01chr12g01840	79
VIT_12s0028g01640	Vitvi05_01chr12g02390	78.7
VIT_12s0028g01670	Vitvi05_01chr12g02420	65.9
VIT_12s0028g02160	Vitvi05_01chr12g03100	52.8
VIT_12s0028g02180	Vitvi05_01chr12g03120	92.1
VIT_12s0028g02440	Vitvi05_01chr12g03400	67.9
VIT_12s0028g02520	Vitvi05_01chr12g03580	59.8
VIT_12s0028g02530	Vitvi05_01chr12g03600	68.7
VIT_12s0028g02970	Vitvi05_01chr12g04130	60.3
VIT_12s0028g03010	Vitvi05_01chr12g04160	84.2
VIT_12s0028g03060	Vitvi05_01chr12g04240	77.9
VIT_12s0028g03100	Vitvi05_01chr12g04290	90.4
VIT_12s0028g03120	Vitvi05_01chr12g04320	58.7
VIT_12s0028g03350	Vitvi05_01chr12g04580	73.9
VIT_12s0028g03560	Vitvi05_01chr12g04840	54.7
VIT_12s0028g03640	Vitvi05_01chr12g04970	66.1
VIT_12s0028g03860	Vitvi05_01chr12g05370	66.1
VIT_12s0034g01160	Vitvi05_01chr12g18000	87.9
VIT_12s0034g01180	Vitvi05_01chr12g18030	89.1
VIT_12s0034g01870	Vitvi05_01chr12g18970	59.3
VIT_12s0034g01890	Vitvi05_01chr12g18980	90.2
VIT_12s0034g01910	Vitvi05_01chr12g19000	59.7
VIT_12s0034g01970	Vitvi05_01chr12g19040	86.4
VIT_12s0035g00270	Vitvi05_01chr12g20350	65
VIT_12s0035g00340	Vitvi05_01chr12g20440	96.8
VIT_12s0035g00380	Vitvi05_01chr12g20510	73.5
VIT_12s0035g00690	Vitvi05_01chr12g20940	51.7
VIT_12s0035g00730	Vitvi05_01chr12g20980	75
VIT_12s0035g00880	Vitvi05_01chr12g21250	87
VIT_12s0035g00900	Vitvi05_01chr12g21300	68.3
VIT_12s0035g00910	Vitvi05_01chr12g21310	81.1
VIT_12s0035g00970	Vitvi05_01chr12g21370	84
VIT_12s0035g01000	Vitvi05_01chr12g21410	71.6
VIT_12s0035g01050	Vitvi05_01chr12g21490	95.8
VIT_12s0035g01240	Vitvi05_01chr12g21760	79.4
VIT_12s0035g01820	Vitvi05_01chr12g22800	78.3
VIT_12s0035g01900	Vitvi05_01chr12g23010	84.7
VIT_12s0035g01910	Vitvi05_01chr12g23020	78.6
VIT_12s0035g02080	Vitvi05_01chr12g23210	63.9
VIT_12s0055g00160	Vitvi05_01chr12g16420	72
VIT_12s0055g00180	Vitvi05_01chr12g16400	66.7
VIT_12s0055g00810	Vitvi05_01chr12g15470	88.7
VIT_12s0055g01110	Vitvi05_01chr12g15030	67.9
VIT_12s0057g00060	Vitvi05_01chr12g09970	58.4
VIT_12s0057g00070	Vitvi05_01chr12g09980	62.5
VIT_12s0057g00080	Vitvi05_01chr12g09990	99.5
VIT_12s0057g00140	Vitvi05_01chr12g10080	53.3
VIT_12s0057g00170	Vitvi05_01chr12g10140	62.6
VIT_12s0057g00180	Vitvi05_01chr12g10150	68.7
VIT_12s0057g00200	Vitvi05_01chr12g10180	76.3
VIT_12s0057g00250	Vitvi05_01chr12g10230	96.5
VIT_12s0057g00310	Vitvi05_01chr12g10340	60.1
VIT_12s0057g00420	Vitvi05_01chr12g10440	90.9
VIT_12s0057g00570	Vitvi05_01chr12g10670	89.2
VIT_12s0057g00630	Vitvi05_01chr12g10890	83.1
VIT_12s0057g00700	Vitvi05_01chr12g10960	63.6
VIT_12s0057g00940	Vitvi05_01chr12g11280	92.7
VIT_12s0057g01020	Vitvi05_01chr12g11410	95.7
VIT_12s0057g01110	Vitvi05_01chr12g11520	56.1
VIT_12s0057g01310	Vitvi05_01chr12g11820	66.6
VIT_12s0057g01550	Vitvi05_01chr12g12140	66.7
VIT_12s0059g00050	Vitvi05_01chr12g05640	84.9
VIT_12s0059g00230	Vitvi05_01chr12g05800	80.2
VIT_12s0059g00270	Vitvi05_01chr12g05860	99.3
VIT_12s0059g00310	Vitvi05_01chr12g05920	76.2
VIT_12s0059g00490	Vitvi05_01chr12g06140	81.6
VIT_12s0059g00590	Vitvi05_01chr12g06250	66.4
VIT_12s0059g00770	Vitvi05_01chr12g06500	70
VIT_12s0059g00880	Vitvi05_01chr12g06640	66.9
VIT_12s0059g01050	Vitvi05_01chr12g06940	58.2
VIT_12s0059g01120	Vitvi05_01chr12g07010	72.5
VIT_12s0059g01240	Vitvi05_01chr12g07140	76.8
VIT_12s0059g01720	Vitvi05_01chr12g07730	94.7
VIT_12s0059g01750	Vitvi05_01chr12g07760	94.8
VIT_12s0059g01790	Vitvi05_01chr12g07790	66.6
VIT_12s0059g01830	Vitvi05_01chr12g07890	77.3
VIT_12s0059g01900	Vitvi05_01chr12g08010	78.8
VIT_12s0059g02180	Vitvi05_01chr12g08340	69.2
VIT_12s0059g02260	Vitvi05_01chr12g08420	68
VIT_12s0059g02320	Vitvi05_01chr12g08480	51
VIT_12s0059g02350	Vitvi05_01chr12g08530	86.7
VIT_12s0059g02360	Vitvi05_01chr12g08540	55.5
VIT_12s0059g02510	Vitvi05_01chr12g08730	53
VIT_12s0134g00160	Vitvi05_01chr12g09250	52.1
VIT_12s0134g00170	Vitvi05_01chr12g09270	71.7
VIT_12s0134g00240	Vitvi05_01chr12g09380	68.1
VIT_12s0134g00470	Vitvi05_01chr12g09700	71.8
VIT_12s0134g00560	Vitvi05_01chr12g09800	68.5
VIT_12s0134g00590	Vitvi05_01chr12g09830	68
VIT_12s0134g00630	Vitvi05_01chr12g09850	67.2
VIT_12s0134g00650	Vitvi05_01chr12g09880	84.5
VIT_12s0142g00110	Vitvi05_01chr12g13470	85.2
VIT_13s0019g00240	Vitvi05_01chr13g03660	73.7
VIT_13s0019g00260	Vitvi05_01chr13g03690	92.5
VIT_13s0019g00330	Vitvi05_01chr13g03740	61.1
VIT_13s0019g00480	Vitvi05_01chr13g03890	56.2
VIT_13s0019g00650	Vitvi05_01chr13g04030	97.1
VIT_13s0019g00730	Vitvi05_01chr13g23510	79.7
VIT_13s0019g00740	Vitvi05_01chr13g04090	93.5
VIT_13s0019g00750	Vitvi05_01chr13g23520	94.6
VIT_13s0019g00860	Vitvi05_01chr13g04160	83.7
VIT_13s0019g01020	Vitvi05_01chr13g04260	52.9
VIT_13s0019g01520	Vitvi05_01chr13g23990	79.8
VIT_13s0019g01840	Vitvi05_01chr13g04860	92.4
VIT_13s0019g02050	Vitvi05_01chr13g05160	76.5
VIT_13s0019g02130	Vitvi05_01chr13g05260	72
VIT_13s0019g02140	Vitvi05_01chr13g05270	91
VIT_13s0019g02180	Vitvi05_01chr13g05320	83
VIT_13s0019g02230	Vitvi05_01chr13g05350	85.7
VIT_13s0019g02300	Vitvi05_01chr13g05430	87.1
VIT_13s0019g02330	Vitvi05_01chr13g05450	87.1
VIT_13s0019g02660	Vitvi05_01chr13g05860	63.6
VIT_13s0019g02770	Vitvi05_01chr13g05990	55
VIT_13s0019g02780	Vitvi05_01chr13g06010	66.4
VIT_13s0019g02840	Vitvi05_01chr13g06070	85.1
VIT_13s0019g02850	Vitvi05_01chr13g06080	55.4
VIT_13s0019g02910	Vitvi05_01chr13g06200	71.7
VIT_13s0019g02930	Vitvi05_01chr13g06220	63.9
VIT_13s0019g03000	Vitvi05_01chr13g06290	64.2
VIT_13s0019g03040	Vitvi05_01chr13g06380	89
VIT_13s0019g03060	Vitvi05_01chr13g06390	83.1
VIT_13s0019g03090	Vitvi05_01chr13g06400	52.2
VIT_13s0019g03160	Vitvi05_01chr13g06460	71.9
VIT_13s0019g03350	Vitvi05_01chr13g06760	72.7
VIT_13s0019g03910	Vitvi05_01chr13g07610	53
VIT_13s0019g03930	Vitvi05_01chr13g07630	82.4
VIT_13s0019g04080	Vitvi05_01chr13g07810	63
VIT_13s0019g04280	Vitvi05_01chr13g08130	70.2
VIT_13s0019g04300	Vitvi05_01chr13g08180	65.5
VIT_13s0019g04390	Vitvi05_01chr13g08290	72.1
VIT_13s0019g04460	Vitvi05_01chr13g08420	85
VIT_13s0019g04660	Vitvi05_01chr13g08750	96.6
VIT_13s0019g04910	Vitvi05_01chr13g09100	92.9
VIT_13s0019g05070	Vitvi05_01chr13g09270	80.2
VIT_13s0019g05120	Vitvi05_01chr13g09330	74.7
VIT_13s0047g00110	Vitvi05_01chr13g15900	97.3
VIT_13s0064g00440	Vitvi05_01chr13g25700	95.3
VIT_13s0064g00460	Vitvi05_01chr13g25720	91.5
VIT_13s0064g00890	Vitvi05_01chr13g26480	95.5
VIT_13s0064g00910	Vitvi05_01chr13g26500	67.1
VIT_13s0064g01080	Vitvi05_01chr13g26660	85.7
VIT_13s0064g01240	Vitvi05_01chr13g26910	75.1
VIT_13s0064g01290	Vitvi05_01chr13g26960	62.4
VIT_13s0064g01320	Vitvi05_01chr13g27020	79.8
VIT_13s0064g01480	Vitvi05_01chr13g27350	90.2
VIT_13s0064g01510	Vitvi05_01chr13g27390	94
VIT_13s0064g01660	Vitvi05_01chr13g27490	91.7
VIT_13s0064g01760	Vitvi05_01chr13g27560	90.5
VIT_13s0067g00110	Vitvi05_01chr13g00080	89
VIT_13s0067g00220	Vitvi05_01chr13g00160	60.2
VIT_13s0067g00330	Vitvi05_01chr13g00230	73.5
VIT_13s0067g00560	Vitvi05_01chr13g19030	99.3
VIT_13s0067g00620	Vitvi05_01chr13g18990	97.7
VIT_13s0067g00700	Vitvi05_01chr13g00430	67.7
VIT_13s0067g00890	Vitvi05_01chr13g00620	86
VIT_13s0067g00990	Vitvi05_01chr13g00680	90.7
VIT_13s0067g01070	Vitvi05_01chr13g00730	66.9
VIT_13s0067g01120	Vitvi05_01chr13g00750	87.7
VIT_13s0067g01150	Vitvi05_01chr13g00770	85
VIT_13s0067g01350	Vitvi05_01chr13g00940	66.5
VIT_13s0067g01930	Vitvi05_01chr13g01510	90.2
VIT_13s0067g02040	Vitvi05_01chr13g18170	79.3
VIT_13s0067g02280	Vitvi05_01chr13g01820	63.7
VIT_13s0067g02300	Vitvi05_01chr13g01840	90.4
VIT_13s0067g02560	Vitvi05_01chr13g01990	96.8
VIT_13s0067g02860	Vitvi05_01chr13g20950	63.5
VIT_13s0067g02910	Vitvi05_01chr13g02270	82.4
VIT_13s0067g03070	Vitvi05_01chr13g02430	60.7
VIT_13s0067g03660	Vitvi05_01chr13g02980	87.5
VIT_13s0067g03780	Vitvi05_01chr13g03060	74.1
VIT_13s0067g03890	Vitvi05_01chr13g03220	64.4
VIT_13s0074g00040	Vitvi05_01chr13g10100	93.8
VIT_13s0074g00110	Vitvi05_01chr13g10210	80
VIT_13s0074g00470	Vitvi05_01chr13g10870	59.1
VIT_13s0074g00570	Vitvi05_01chr13g11140	72.9
VIT_13s0074g00690	Vitvi05_01chr13g11390	72.2
VIT_13s0074g00730	Vitvi05_01chr13g11500	78.1
VIT_13s0084g00090	Vitvi05_01chr13g19600	83.2
VIT_13s0084g00240	Vitvi05_01chr13g19870	62.8
VIT_13s0084g00820	Vitvi05_01chr13g20750	70.2
VIT_13s0101g00210	Vitvi05_01chr13g14000	70.5
VIT_13s0101g00520	Vitvi05_01chr13g13420	60.2
VIT_13s0106g00250	Vitvi05_01chr13g12020	66
VIT_13s0106g00550	Vitvi05_01chr13g12490	83.8
VIT_13s0106g00720	Vitvi05_01chr13g12780	53
VIT_13s0156g00190	Vitvi05_01chr13g28400	53.1
VIT_13s0156g00260	Vitvi05_01chr13g28230	57.5
VIT_13s0158g00080	Vitvi05_01chr13g24770	89.3
VIT_13s0158g00290	Vitvi05_01chr13g24530	80.1
VIT_13s0158g00370	Vitvi05_01chr13g24380	51.2
VIT_13s0320g00030	Vitvi05_01chr13g28660	61.3
VIT_14s0006g00180	Vitvi05_01chr14g12410	63.3
VIT_14s0006g00300	Vitvi05_01chr14g12550	54.9
VIT_14s0006g00520	Vitvi05_01chr14g13040	87.6
VIT_14s0006g01600	Vitvi05_01chr14g15030	88.5
VIT_14s0006g01620	Vitvi05_01chr14g15080	82.7
VIT_14s0006g02000	Vitvi05_01chr14g15970	100
VIT_14s0006g02550	Vitvi05_01chr14g16910	71.7
VIT_14s0006g02760	Vitvi05_01chr14g17430	95.7
VIT_14s0006g02880	Vitvi05_01chr14g17670	89.6
VIT_14s0006g02990	Vitvi05_01chr14g17830	57.5
VIT_14s0006g03100	Vitvi05_01chr14g18160	73.4
VIT_14s0006g03110	Vitvi05_01chr14g18190	64.1
VIT_14s0006g03260	Vitvi05_01chr14g18380	72.3
VIT_14s0030g00140	Vitvi05_01chr14g05030	87.4
VIT_14s0030g00250	Vitvi05_01chr14g05250	85.5
VIT_14s0030g00340	Vitvi05_01chr14g05360	61.9
VIT_14s0030g00930	Vitvi05_01chr14g06140	63.8
VIT_14s0030g01300	Vitvi05_01chr14g06730	83.3
VIT_14s0030g01360	Vitvi05_01chr14g06820	75.6
VIT_14s0030g01700	Vitvi05_01chr14g07500	53
VIT_14s0030g01790	Vitvi05_01chr14g07610	97.4
VIT_14s0030g01880	Vitvi05_01chr14g07710	86.2
