"Gene"	"V3_gene"	"V5_gene"	"V3_MapMan_terms"	"V5_MapMan_terms"	"V3_Pfam"	"V3_PANTHER"	"V5_Chr"	"V5_GeneStart"	"V5_GeneEnd"	"V5_Pfam"	"V5_PANTHER"	"V5_OtherDomains"
"VIT_16s0100g01100"	"Vitvi16g01475"	"Vitvi05_01chr16g14430"	"Secondary metabolism; Secondary metabolism.phenolics; Secondary metabolism.phenolics.stilbenoid biosynthesis"	"mapman:Enzyme classification; mapman:Enzyme classification.EC_2 transferases; mapman:Enzyme classification.EC_2 transferases.EC_2-3 acyltransferase; mapman:Secondary metabolism; mapman:Secondary metabolism.phenolics; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones.chalcone synthase activity; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones.chalcone synthase activity.chalcone synthase *(CHS)"	"PF00195 ('Chalcone and stilbene synthases, N-terminal domain-Chalcone/stilbene synthase, N-terminal', '1.4E-118', 'Pfam'); PF02797 ('Chalcone and stilbene synthases, C-terminal domain-Chalcone/stilbene synthase, C-terminal', '1.2E-71', 'Pfam')"	"PTHR11877 ('HYDROXYMETHYLGLUTARYL-COA SYNTHASE-Polyketide synthase, type III', '0.0', 'PANTHER')"	"chr16"	21384680	21386959	"PF00195 ('Chalcone and stilbene synthases, N-terminal domain-Chalcone/stilbene synthase, N-terminal', '1.4E-118', 'Pfam'); PF02797 ('Chalcone and stilbene synthases, C-terminal domain-Chalcone/stilbene synthase, C-terminal', '1.2E-71', 'Pfam')"	"PTHR11877 ('HYDROXYMETHYLGLUTARYL-COA SYNTHASE-Polyketide synthase, type III', '0.0', 'PANTHER')"	"SSF53901 ('Thiolase-like-Thiolase-like', '1.44E-50', 'SUPERFAMILY'); G3DSA:3.40.47.10:FF:000025 ('Chalcone synthase 2', '1.1E-122', 'FunFam'); PIRSF000451 ('PKS_III-Polyketide synthase, type III', '1.9E-129', 'PIRSF'); cd00831 ('CHS_like', '0.0', 'CDD'); SSF53901 ('Thiolase-like-Thiolase-like', '2.88E-75', 'SUPERFAMILY'); G3DSA:3.40.47.10 ('Thiolase-like', '1.1E-60', 'Gene3D'); G3DSA:3.40.47.10:FF:000014 ('Chalcone synthase 1', '2.2E-67', 'FunFam'); G3DSA:3.40.47.10 ('Thiolase-like', '3.0E-99', 'Gene3D')"
"VIT_12s0059g00370"	"Vitvi12g02342"	NA	"not assigned; not assigned.not annotated"	NA	"PF13499 ('EF-hand domain pair-EF-hand domain', '6.4E-9', 'Pfam')"	"PTHR34574 ('CALCIUM-BINDING EF-HAND FAMILY PROTEIN-RELATED', '4.3E-39', 'PANTHER')"	NA	NA	NA	NA	NA	NA
"VIT_18s0001g02760"	"Vitvi18g02533"	NA	"not assigned; not assigned.annotated"	NA	"PF00657 ('GDSL-like Lipase/Acylhydrolase-GDSL lipase/esterase', '6.3E-43', 'Pfam')"	"PTHR22835 ('ZINC FINGER FYVE DOMAIN CONTAINING PROTEIN', '1.9E-102', 'PANTHER')"	NA	NA	NA	NA	NA	NA
"VIT_16s0100g00990"	"Vitvi16g01468"	"Vitvi05_01chr16g14300"	"Secondary metabolism; Secondary metabolism.phenolics; Secondary metabolism.phenolics.stilbenoid biosynthesis"	"mapman:Enzyme classification; mapman:Enzyme classification.EC_2 transferases; mapman:Enzyme classification.EC_2 transferases.EC_2-3 acyltransferase; mapman:Secondary metabolism; mapman:Secondary metabolism.phenolics; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones.chalcone synthase activity; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones.chalcone synthase activity.chalcone synthase *(CHS)"	"PF02797 ('Chalcone and stilbene synthases, C-terminal domain-Chalcone/stilbene synthase, C-terminal', '1.1E-70', 'Pfam'); PF00195 ('Chalcone and stilbene synthases, N-terminal domain-Chalcone/stilbene synthase, N-terminal', '2.7E-122', 'Pfam')"	"PTHR11877 ('HYDROXYMETHYLGLUTARYL-COA SYNTHASE-Polyketide synthase, type III', '0.0', 'PANTHER')"	"chr16"	21319757	21322450	"PF02797 ('Chalcone and stilbene synthases, C-terminal domain-Chalcone/stilbene synthase, C-terminal', '1.1E-70', 'Pfam'); PF00195 ('Chalcone and stilbene synthases, N-terminal domain-Chalcone/stilbene synthase, N-terminal', '2.7E-122', 'Pfam')"	"PTHR11877 ('HYDROXYMETHYLGLUTARYL-COA SYNTHASE-Polyketide synthase, type III', '0.0', 'PANTHER')"	"G3DSA:3.40.47.10 ('Thiolase-like', '7.6E-62', 'Gene3D'); G3DSA:3.40.47.10:FF:000014 ('Chalcone synthase 1', '3.4E-67', 'FunFam'); PS00441 ('Chalcone and stilbene synthases active site.-Chalcone/stilbene synthase, active site', '-', 'ProSitePatterns'); SSF53901 ('Thiolase-like-Thiolase-like', '1.26E-76', 'SUPERFAMILY'); cd00831 ('CHS_like', '0.0', 'CDD'); G3DSA:3.40.47.10:FF:000025 ('Chalcone synthase 2', '4.3E-125', 'FunFam'); PIRSF000451 ('PKS_III-Polyketide synthase, type III', '0.0', 'PIRSF'); G3DSA:3.40.47.10 ('Thiolase-like', '3.8E-100', 'Gene3D'); SSF53901 ('Thiolase-like-Thiolase-like', '5.76E-51', 'SUPERFAMILY')"
"VIT_16s0100g01030"	"Vitvi16g01472"	"Vitvi05_01chr16g14320"	"Secondary metabolism; Secondary metabolism.phenolics; Secondary metabolism.phenolics.stilbenoid biosynthesis"	"mapman:Enzyme classification; mapman:Enzyme classification.EC_2 transferases; mapman:Enzyme classification.EC_2 transferases.EC_2-3 acyltransferase; mapman:Secondary metabolism; mapman:Secondary metabolism.phenolics; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones.chalcone synthase activity; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones.chalcone synthase activity.chalcone synthase *(CHS)"	"PF02797 ('Chalcone and stilbene synthases, C-terminal domain-Chalcone/stilbene synthase, C-terminal', '5.0E-71', 'Pfam'); PF00195 ('Chalcone and stilbene synthases, N-terminal domain-Chalcone/stilbene synthase, N-terminal', '2.5E-122', 'Pfam')"	"PTHR11877 ('HYDROXYMETHYLGLUTARYL-COA SYNTHASE-Polyketide synthase, type III', '0.0', 'PANTHER')"	"chr16"	21336336	21338946	"PF02797 ('Chalcone and stilbene synthases, C-terminal domain-Chalcone/stilbene synthase, C-terminal', '5.0E-71', 'Pfam'); PF00195 ('Chalcone and stilbene synthases, N-terminal domain-Chalcone/stilbene synthase, N-terminal', '2.5E-122', 'Pfam')"	"PTHR11877 ('HYDROXYMETHYLGLUTARYL-COA SYNTHASE-Polyketide synthase, type III', '0.0', 'PANTHER')"	"G3DSA:3.40.47.10:FF:000014 ('Chalcone synthase 1', '4.9E-68', 'FunFam'); PS00441 ('Chalcone and stilbene synthases active site.-Chalcone/stilbene synthase, active site', '-', 'ProSitePatterns'); cd00831 ('CHS_like', '0.0', 'CDD'); G3DSA:3.40.47.10:FF:000025 ('Chalcone synthase 2', '3.8E-125', 'FunFam'); G3DSA:3.40.47.10 ('Thiolase-like', '4.7E-62', 'Gene3D'); SSF53901 ('Thiolase-like-Thiolase-like', '3.51E-51', 'SUPERFAMILY'); PIRSF000451 ('PKS_III-Polyketide synthase, type III', '0.0', 'PIRSF'); G3DSA:3.40.47.10 ('Thiolase-like', '8.0E-100', 'Gene3D'); SSF53901 ('Thiolase-like-Thiolase-like', '1.32E-76', 'SUPERFAMILY')"
"VIT_05s0077g01530"	"Vitvi05g01760"	NA	"not assigned; not assigned.annotated"	NA	"PF00407 ('Pathogenesis-related protein Bet v 1 family-Bet v I/Major latex protein', '4.0E-22', 'Pfam')"	"PTHR31213 ('OS03G0300400 PROTEIN-RELATED-Plant defense and hormone signaling protein', '1.1E-63', 'PANTHER')"	NA	NA	NA	NA	NA	NA
"VIT_16s0100g01000"	"Vitvi16g01469"	"Vitvi05_01chr16g14280"	"Secondary metabolism; Secondary metabolism.phenolics; Secondary metabolism.phenolics.stilbenoid biosynthesis"	"mapman:Enzyme classification; mapman:Enzyme classification.EC_2 transferases; mapman:Enzyme classification.EC_2 transferases.EC_2-3 acyltransferase; mapman:Secondary metabolism; mapman:Secondary metabolism.phenolics; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones.chalcone synthase activity; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones.chalcone synthase activity.chalcone synthase *(CHS)"	"PF00195 ('Chalcone and stilbene synthases, N-terminal domain-Chalcone/stilbene synthase, N-terminal', '8.3E-122', 'Pfam'); PF02797 ('Chalcone and stilbene synthases, C-terminal domain-Chalcone/stilbene synthase, C-terminal', '4.7E-71', 'Pfam')"	"PTHR11877 ('HYDROXYMETHYLGLUTARYL-COA SYNTHASE-Polyketide synthase, type III', '0.0', 'PANTHER')"	"chr16"	21293062	21294578	"PF00195 ('Chalcone and stilbene synthases, N-terminal domain-Chalcone/stilbene synthase, N-terminal', '8.3E-122', 'Pfam'); PF02797 ('Chalcone and stilbene synthases, C-terminal domain-Chalcone/stilbene synthase, C-terminal', '4.7E-71', 'Pfam')"	"PTHR11877 ('HYDROXYMETHYLGLUTARYL-COA SYNTHASE-Polyketide synthase, type III', '0.0', 'PANTHER')"	"G3DSA:3.40.47.10:FF:000025 ('Chalcone synthase 2', '7.7E-125', 'FunFam'); G3DSA:3.40.47.10 ('Thiolase-like', '2.5E-60', 'Gene3D'); G3DSA:3.40.47.10 ('Thiolase-like', '1.4E-99', 'Gene3D'); SSF53901 ('Thiolase-like-Thiolase-like', '1.13E-75', 'SUPERFAMILY'); PS00441 ('Chalcone and stilbene synthases active site.-Chalcone/stilbene synthase, active site', '-', 'ProSitePatterns'); cd00831 ('CHS_like', '0.0', 'CDD'); PIRSF000451 ('PKS_III-Polyketide synthase, type III', '0.0', 'PIRSF'); SSF53901 ('Thiolase-like-Thiolase-like', '1.04E-50', 'SUPERFAMILY'); G3DSA:3.40.47.10:FF:000014 ('Chalcone synthase 1', '5.0E-67', 'FunFam')"
"VIT_16s0100g00950"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"VIT_16s0100g00830"	"Vitvi16g00991"	NA	"Secondary metabolism; Secondary metabolism.phenolics; Secondary metabolism.phenolics.stilbenoid biosynthesis"	NA	"PF02797 ('Chalcone and stilbene synthases, C-terminal domain-Chalcone/stilbene synthase, C-terminal', '6.5E-72', 'Pfam'); PF00195 ('Chalcone and stilbene synthases, N-terminal domain-Chalcone/stilbene synthase, N-terminal', '3.1E-122', 'Pfam')"	"PTHR11877 ('HYDROXYMETHYLGLUTARYL-COA SYNTHASE-Polyketide synthase, type III', '0.0', 'PANTHER')"	NA	NA	NA	NA	NA	NA
"VIT_06s0004g01030"	"Vitvi06g01604"	NA	"not assigned; not assigned.annotated"	NA	"PF03018 ('Dirigent-like protein-Dirigent protein', '4.7E-45', 'Pfam')"	"PTHR21495 ('NUCLEOPORIN-RELATED-Dirigent protein', '5.4E-53', 'PANTHER')"	NA	NA	NA	NA	NA	NA
"VIT_13s0019g00480"	"Vitvi13g00262"	"Vitvi05_01chr13g03890"	"RNA biosynthesis; RNA biosynthesis.transcriptional regulation; RNA biosynthesis.transcriptional regulation.transcription factor (C2H2-ZF)"	"mapman:RNA biosynthesis; mapman:RNA biosynthesis.DNA-binding transcriptional regulation; mapman:RNA biosynthesis.DNA-binding transcriptional regulation.zinc-coordinating DNA-binding domain; mapman:RNA biosynthesis.DNA-binding transcriptional regulation.zinc-coordinating DNA-binding domain.ZAT transcription factor"	"PF13912 ('C2H2-type zinc finger-Zinc finger C2H2-type', '2.3E-6', 'Pfam'); PF13912 ('C2H2-type zinc finger-Zinc finger C2H2-type', '9.0E-10', 'Pfam')"	"PTHR26374 ('ZINC FINGER PROTEIN ZAT5', '9.0E-47', 'PANTHER')"	"chr13"	2587975	2589352	"PF13912 ('C2H2-type zinc finger-Zinc finger C2H2-type', '2.4E-6', 'Pfam'); PF13912 ('C2H2-type zinc finger-Zinc finger C2H2-type', '9.4E-10', 'Pfam')"	"PTHR26374 ('ZINC FINGER PROTEIN ZAT5', '9.4E-47', 'PANTHER')"	"SM00355 ('c2h2final6-Zinc finger C2H2-type', '0.5', 'SMART'); SM00355 ('c2h2final6-Zinc finger C2H2-type', '0.16', 'SMART'); PS50157 ('Zinc finger C2H2 type domain profile.-Zinc finger C2H2-type', '9.826565', 'ProSiteProfiles'); PS50157 ('Zinc finger C2H2 type domain profile.-Zinc finger C2H2-type', '9.182289', 'ProSiteProfiles'); G3DSA:3.30.160.60 ('Classic Zinc Finger', '2.3E-9', 'Gene3D'); PS00028 ('Zinc finger C2H2 type domain signature.-Zinc finger C2H2-type', '-', 'ProSitePatterns'); SSF57667 ('beta-beta-alpha zinc fingers-Zinc finger C2H2 superfamily', '6.05E-9', 'SUPERFAMILY')"
"VIT_02s0025g04270"	"Vitvi02g01404"	"Vitvi05_01chr02g05210"	"not assigned; not assigned.annotated"	NA	"PF00314 ('Thaumatin family-Thaumatin family', '5.0E-59', 'Pfam')"	"PTHR31048 ('OS03G0233200 PROTEIN-Thaumatin family', '2.2E-86', 'PANTHER')"	"chr02"	3630095	3631366	"PF00314 ('Thaumatin family-Thaumatin family', '5.0E-59', 'Pfam')"	"PTHR31048 ('OS03G0233200 PROTEIN-Thaumatin family', '2.2E-86', 'PANTHER')"	"SSF49870 ('Osmotin, thaumatin-like protein-Osmotin/thaumatin-like superfamily', '1.31E-85', 'SUPERFAMILY'); cd09217 ('TLP-P', '2.5938E-79', 'CDD'); PIRSF002703 ('PR5-Thaumatin family', '8.7E-75', 'PIRSF'); G3DSA:2.60.110.10 ('Thaumatin-Osmotin/thaumatin-like superfamily', '6.9E-84', 'Gene3D'); PR00347 ('Pathogenesis-related protein signature-Thaumatin family', '1.1E-43', 'PRINTS'); PS00316 ('Thaumatin family signature.-Thaumatin, conserved site', '-', 'ProSitePatterns'); G3DSA:2.60.110.10:FF:000003 ('Thaumatin I', '3.6E-106', 'FunFam'); PS51367 ('Thaumatin family profile.-Thaumatin family', '49.727264', 'ProSiteProfiles'); SM00205 ('tha2-Thaumatin family', '0.0', 'SMART')"
"VIT_00s0324g00050"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"VIT_16s0100g00750"	"Vitvi16g01485"	"Vitvi05_01chr16g14000"	"Secondary metabolism; Secondary metabolism.phenolics; Secondary metabolism.phenolics.stilbenoid biosynthesis"	"mapman:Enzyme classification; mapman:Enzyme classification.EC_2 transferases; mapman:Enzyme classification.EC_2 transferases.EC_2-3 acyltransferase; mapman:Secondary metabolism; mapman:Secondary metabolism.phenolics; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones.chalcone synthase activity; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones.chalcone synthase activity.chalcone synthase *(CHS)"	"PF02797 ('Chalcone and stilbene synthases, C-terminal domain-Chalcone/stilbene synthase, C-terminal', '4.6E-71', 'Pfam'); PF00195 ('Chalcone and stilbene synthases, N-terminal domain-Chalcone/stilbene synthase, N-terminal', '5.4E-122', 'Pfam')"	"PTHR11877 ('HYDROXYMETHYLGLUTARYL-COA SYNTHASE-Polyketide synthase, type III', '0.0', 'PANTHER')"	"chr16"	21022017	21023894	"PF02797 ('Chalcone and stilbene synthases, C-terminal domain-Chalcone/stilbene synthase, C-terminal', '4.6E-71', 'Pfam'); PF00195 ('Chalcone and stilbene synthases, N-terminal domain-Chalcone/stilbene synthase, N-terminal', '5.4E-122', 'Pfam')"	"PTHR11877 ('HYDROXYMETHYLGLUTARYL-COA SYNTHASE-Polyketide synthase, type III', '0.0', 'PANTHER')"	"SSF53901 ('Thiolase-like-Thiolase-like', '1.02E-76', 'SUPERFAMILY'); G3DSA:3.40.47.10 ('Thiolase-like', '2.2E-100', 'Gene3D'); PS00441 ('Chalcone and stilbene synthases active site.-Chalcone/stilbene synthase, active site', '-', 'ProSitePatterns'); cd00831 ('CHS_like', '0.0', 'CDD'); SSF53901 ('Thiolase-like-Thiolase-like', '3.51E-51', 'SUPERFAMILY'); PIRSF000451 ('PKS_III-Polyketide synthase, type III', '0.0', 'PIRSF'); G3DSA:3.40.47.10:FF:000014 ('Chalcone synthase 1', '1.7E-67', 'FunFam'); G3DSA:3.40.47.10:FF:000025 ('Chalcone synthase 2', '3.4E-125', 'FunFam'); G3DSA:3.40.47.10 ('Thiolase-like', '7.4E-62', 'Gene3D')"
"VIT_16s0100g00910"	"Vitvi16g01464"	"Vitvi05_01chr16g14090"	"Secondary metabolism; Secondary metabolism.phenolics; Secondary metabolism.phenolics.stilbenoid biosynthesis"	"mapman:Enzyme classification; mapman:Enzyme classification.EC_2 transferases; mapman:Enzyme classification.EC_2 transferases.EC_2-3 acyltransferase; mapman:Secondary metabolism; mapman:Secondary metabolism.phenolics; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones.chalcone synthase activity; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones.chalcone synthase activity.chalcone synthase *(CHS)"	"PF02797 ('Chalcone and stilbene synthases, C-terminal domain-Chalcone/stilbene synthase, C-terminal', '6.5E-72', 'Pfam'); PF00195 ('Chalcone and stilbene synthases, N-terminal domain-Chalcone/stilbene synthase, N-terminal', '1.3E-121', 'Pfam')"	"PTHR11877 ('HYDROXYMETHYLGLUTARYL-COA SYNTHASE-Polyketide synthase, type III', '0.0', 'PANTHER')"	"chr16"	21119047	21122355	"PF02797 ('Chalcone and stilbene synthases, C-terminal domain-Chalcone/stilbene synthase, C-terminal', '6.5E-72', 'Pfam'); PF00195 ('Chalcone and stilbene synthases, N-terminal domain-Chalcone/stilbene synthase, N-terminal', '1.3E-121', 'Pfam')"	"PTHR11877 ('HYDROXYMETHYLGLUTARYL-COA SYNTHASE-Polyketide synthase, type III', '0.0', 'PANTHER')"	"G3DSA:3.40.47.10:FF:000014 ('Chalcone synthase 1', '7.7E-68', 'FunFam'); G3DSA:3.40.47.10:FF:000025 ('Chalcone synthase 2', '3.4E-124', 'FunFam'); PS00441 ('Chalcone and stilbene synthases active site.-Chalcone/stilbene synthase, active site', '-', 'ProSitePatterns'); cd00831 ('CHS_like', '0.0', 'CDD'); G3DSA:3.40.47.10 ('Thiolase-like', '7.7E-99', 'Gene3D'); PIRSF000451 ('PKS_III-Polyketide synthase, type III', '0.0', 'PIRSF'); SSF53901 ('Thiolase-like-Thiolase-like', '8.12E-76', 'SUPERFAMILY'); SSF53901 ('Thiolase-like-Thiolase-like', '1.27E-50', 'SUPERFAMILY'); G3DSA:3.40.47.10 ('Thiolase-like', '1.1E-61', 'Gene3D')"
"VIT_12s0028g02530"	"Vitvi12g00220"	"Vitvi05_01chr12g03600"	"Protein homeostasis; Protein homeostasis.ubiquitin-proteasome system; Protein homeostasis.ubiquitin-proteasome system.ubiquitin-fold protein conjugation; Protein homeostasis.ubiquitin-proteasome system.ubiquitin-fold protein conjugation.ubiquitin conjugation (ubiquitylation); Protein homeostasis.ubiquitin-proteasome system.ubiquitin-fold protein conjugation.ubiquitin conjugation (ubiquitylation).ubiquitin-ligase E3 activities; Protein homeostasis.ubiquitin-proteasome system.ubiquitin-fold protein conjugation.ubiquitin conjugation (ubiquitylation).ubiquitin-ligase E3 activities.RING-domain E3 ligase activities; Protein homeostasis.ubiquitin-proteasome system.ubiquitin-fold protein conjugation.ubiquitin conjugation (ubiquitylation).ubiquitin-ligase E3 activities.RING-domain E3 ligase activities.RING-H2-class E3 ligase"	"mapman:Protein homeostasis; mapman:Protein homeostasis.ubiquitin-proteasome system; mapman:Protein homeostasis.ubiquitin-proteasome system.ubiquitin-fold protein conjugation; mapman:Protein homeostasis.ubiquitin-proteasome system.ubiquitin-fold protein conjugation.RING E3 ubiquitin ligase activities; mapman:Protein homeostasis.ubiquitin-proteasome system.ubiquitin-fold protein conjugation.RING E3 ubiquitin ligase activities.RING-H2-class; mapman:Protein homeostasis.ubiquitin-proteasome system.ubiquitin-fold protein conjugation.RING E3 ubiquitin ligase activities.RING-H2-class.ATL-subclass E3 ubiquitin ligase"	"PF13639 ('Ring finger domain-Zinc finger, RING-type', '3.0E-11', 'Pfam')"	"PTHR46539 ('E3 UBIQUITIN-PROTEIN LIGASE ATL42', '6.2E-42', 'PANTHER')"	"chr12"	3308817	3310295	"PF13639 ('Ring finger domain-Zinc finger, RING-type', '3.0E-11', 'Pfam')"	"PTHR46539 ('E3 UBIQUITIN-PROTEIN LIGASE ATL42', '6.2E-42', 'PANTHER')"	"G3DSA:3.30.40.10:FF:000187 ('E3 ubiquitin-protein ligase ATL6', '1.0E-27', 'FunFam'); SM00184 ('ring_2-Zinc finger, RING-type', '2.1E-7', 'SMART'); PS50089 ('Zinc finger RING-type profile.-Zinc finger, RING-type', '12.858103', 'ProSiteProfiles'); cd16461 ('RING-H2_EL5-like', '6.78562E-22', 'CDD'); SSF57850 ('RING/U-box', '1.51E-22', 'SUPERFAMILY'); G3DSA:3.30.40.10 ('Zinc/RING finger domain, C3HC4 (zinc finger)-Zinc finger, RING/FYVE/PHD-type', '7.9E-24', 'Gene3D')"
"VIT_12s0028g00860"	"Vitvi12g00076"	"Vitvi05_01chr12g01380"	"RNA biosynthesis; RNA biosynthesis.transcriptional regulation; RNA biosynthesis.transcriptional regulation.transcription factor (NAC)"	"mapman:RNA biosynthesis; mapman:RNA biosynthesis.DNA-binding transcriptional regulation; mapman:RNA biosynthesis.DNA-binding transcriptional regulation.beta-hairpin exposed by alpha/beta-scaffold structure; mapman:RNA biosynthesis.DNA-binding transcriptional regulation.beta-hairpin exposed by alpha/beta-scaffold structure.NAC transcription factor"	"PF02365 ('No apical meristem (NAM) protein-NAC domain', '9.5E-43', 'Pfam')"	"PTHR31744 ('PROTEIN CUP-SHAPED COTYLEDON 2-RELATED', '1.2E-78', 'PANTHER')"	"chr12"	1411171	1414878	"PF02365 ('No apical meristem (NAM) protein-NAC domain', '9.5E-43', 'Pfam')"	"PTHR31744 ('PROTEIN CUP-SHAPED COTYLEDON 2-RELATED', '1.2E-78', 'PANTHER')"	"SSF101941 ('NAC domain-NAC domain superfamily', '1.22E-55', 'SUPERFAMILY'); G3DSA:2.170.150.80 ('NAC domain-NAC domain superfamily', '2.1E-53', 'Gene3D'); G3DSA:2.170.150.80:FF:000007 ('NAC domain-containing protein 35', '4.5E-72', 'FunFam'); PS51005 ('NAC domain profile.-NAC domain', '54.219299', 'ProSiteProfiles')"
"VIT_13s0019g05070"	"Vitvi13g00683"	"Vitvi05_01chr13g09270"	"Solute transport; Solute transport.carrier-mediated transport; Solute transport.carrier-mediated transport.MFS superfamily; Solute transport.carrier-mediated transport.MFS superfamily.anion transporter (Fabaceae-N70)"	"mapman:Solute transport; mapman:Solute transport.carrier-mediated transport; mapman:Solute transport.carrier-mediated transport.MFS superfamily; mapman:Solute transport.carrier-mediated transport.MFS superfamily.UMF23-type solute transporter"	"PF07690 ('Major Facilitator Superfamily-Major facilitator superfamily', '4.6E-6', 'Pfam'); PF06813 ('Nodulin-like-Nodulin-like', '8.8E-92', 'Pfam')"	"PTHR21576 ('UNCHARACTERIZED NODULIN-LIKE PROTEIN', '0.0', 'PANTHER')"	"chr13"	6897087	6899732	"PF07690 ('Major Facilitator Superfamily-Major facilitator superfamily', '4.6E-6', 'Pfam'); PF06813 ('Nodulin-like-Nodulin-like', '8.8E-92', 'Pfam')"	"PTHR21576 ('UNCHARACTERIZED NODULIN-LIKE PROTEIN', '0.0', 'PANTHER')"	"SSF103473 ('MFS general substrate transporter-MFS transporter superfamily', '2.09E-23', 'SUPERFAMILY'); G3DSA:1.20.1250.20 ('MFS general substrate transporter like domains-MFS transporter superfamily', '1.5E-10', 'Gene3D'); cd17354 ('MFS_Mch1p_like', '3.86881E-111', 'CDD'); G3DSA:1.20.1250.20:FF:000446 ('Nodulin family protein', '7.3E-96', 'FunFam')"
"VIT_11s0016g05540"	"Vitvi11g00486"	NA	"not assigned; not assigned.annotated"	NA	"PF02298 ('Plastocyanin-like domain-Phytocyanin domain', '2.6E-16', 'Pfam'); PF02298 ('Plastocyanin-like domain-Phytocyanin domain', '2.3E-17', 'Pfam')"	"PTHR33021 ('BLUE COPPER PROTEIN-Phytocyanin-like', '2.2E-53', 'PANTHER')"	NA	NA	NA	NA	NA	NA
"VIT_16s0100g00770"	"Vitvi16g01486"	"Vitvi05_01chr16g14020"	"Secondary metabolism; Secondary metabolism.phenolics; Secondary metabolism.phenolics.stilbenoid biosynthesis"	"mapman:Enzyme classification; mapman:Enzyme classification.EC_2 transferases; mapman:Enzyme classification.EC_2 transferases.EC_2-3 acyltransferase; mapman:Secondary metabolism; mapman:Secondary metabolism.phenolics; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones.chalcone synthase activity; mapman:Secondary metabolism.phenolics.flavonoid biosynthesis.chalcones.chalcone synthase activity.chalcone synthase *(CHS)"	"PF00195 ('Chalcone and stilbene synthases, N-terminal domain-Chalcone/stilbene synthase, N-terminal', '3.1E-122', 'Pfam'); PF02797 ('Chalcone and stilbene synthases, C-terminal domain-Chalcone/stilbene synthase, C-terminal', '9.1E-72', 'Pfam')"	"PTHR11877 ('HYDROXYMETHYLGLUTARYL-COA SYNTHASE-Polyketide synthase, type III', '0.0', 'PANTHER')"	"chr16"	21051431	21054782	"PF00195 ('Chalcone and stilbene synthases, N-terminal domain-Chalcone/stilbene synthase, N-terminal', '3.1E-122', 'Pfam'); PF02797 ('Chalcone and stilbene synthases, C-terminal domain-Chalcone/stilbene synthase, C-terminal', '9.1E-72', 'Pfam')"	"PTHR11877 ('HYDROXYMETHYLGLUTARYL-COA SYNTHASE-Polyketide synthase, type III', '0.0', 'PANTHER')"	"G3DSA:3.40.47.10:FF:000025 ('Chalcone synthase 2', '6.2E-125', 'FunFam'); PS00441 ('Chalcone and stilbene synthases active site.-Chalcone/stilbene synthase, active site', '-', 'ProSitePatterns'); SSF53901 ('Thiolase-like-Thiolase-like', '3.05E-51', 'SUPERFAMILY'); cd00831 ('CHS_like', '0.0', 'CDD'); G3DSA:3.40.47.10 ('Thiolase-like', '5.4E-62', 'Gene3D'); G3DSA:3.40.47.10:FF:000014 ('Chalcone synthase 1', '4.7E-68', 'FunFam'); PIRSF000451 ('PKS_III-Polyketide synthase, type III', '0.0', 'PIRSF'); G3DSA:3.40.47.10 ('Thiolase-like', '8.1E-100', 'Gene3D'); SSF53901 ('Thiolase-like-Thiolase-like', '2.62E-76', 'SUPERFAMILY')"
